state,total_pop,disability_category,race,gender,employed_count,disability_employed,no_disability_employed,employment_gap,poverty_count,disability_poverty,no_disability_poverty,poverty_gap
AL,427044,All,All,All,138077,32.3,74.6,42.3,117608,27.5,14.4,13.1
AK,57446,All,All,All,26466,46.1,74.9,28.8,13785,24,9.1,14.9
AZ,462266,All,All,All,203672,44.1,76,31.9,101643,22,12.1,9.9
AR,270410,All,All,All,95322,35.3,76.8,41.5,75911,28.1,14.4,13.7
CA,2094680,All,All,All,825876,39.4,73.5,34.1,470724,22.5,11.3,11.2
CO,334153,All,All,All,166776,49.9,79.9,30,64675,19.4,9.7,9.7
CT,210733,All,All,All,93481,44.4,78.3,33.9,50433,23.9,10.4,13.5
DE,63108,All,All,All,29787,47.2,76.3,29.1,13653,21.6,11.5,10.1
DC,45567,All,All,All,18345,40.3,77.8,37.5,17222,37.8,17.1,20.7
FL,1294357,All,All,All,508919,39.3,76.3,37,304721,23.5,12,11.5
GA,718796,All,All,All,279071,38.8,76,37.2,174123,24.2,12.7,11.5
HI,70655,All,All,All,28568,40.4,75.1,34.7,20003,28.3,10.4,17.9
ID,129963,All,All,All,65530,50.4,79.5,29.1,24273,18.7,10.3,8.4
IL,738699,All,All,All,307531,41.6,76.9,35.3,187135,25.3,11,14.3
IN,475999,All,All,All,193235,40.6,78.7,38.1,120215,25.3,11.7,13.6
IA,200714,All,All,All,94631,47.1,83,35.9,57854,28.8,11.7,17.1
KS,201587,All,All,All,87877,43.6,80.9,37.3,56306,27.9,11.6,16.3
KY,425527,All,All,All,143193,33.7,76,42.3,138531,32.6,14.5,18.1
LA,382524,All,All,All,130691,34.2,72.2,38,120020,31.4,17.3,14.1
ME,111109,All,All,All,39764,35.8,80.1,44.3,37853,34.1,10.9,23.2
MD,347449,All,All,All,158268,45.6,79,33.4,82539,23.8,9.3,14.5
MA,390447,All,All,All,162885,41.7,78.8,37.1,102885,26.4,11.6,14.8
MI,717556,All,All,All,267500,37.3,75.4,38.1,188470,26.3,12.2,14.1
MN,346254,All,All,All,176096,50.9,83.5,32.6,80760,23.3,8.5,14.8
MS,283513,All,All,All,94106,33.2,72.9,39.7,87026,30.7,16.8,13.9
MO,455483,All,All,All,188557,41.4,79.4,38,126640,27.8,11.7,16.1
MT,75444,All,All,All,32744,43.4,78.7,35.3,19276,25.6,11.5,14.1
NE,127695,All,All,All,67109,52.6,84.8,32.2,27349,21.4,10.7,10.7
NV,203594,All,All,All,86496,42.5,73.5,31,50241,24.7,12.2,12.5
NH,86205,All,All,All,40316,46.8,81.7,34.9,16022,18.6,7.7,10.9
NJ,442236,All,All,All,177976,40.2,76.5,36.3,95270,21.5,9.2,12.3
NM,172088,All,All,All,60122,34.9,71.2,36.3,54792,31.8,17.3,14.5
NY,1137516,All,All,All,419234,36.9,73.8,36.9,330786,29.1,13,16.1
NC,721213,All,All,All,277731,38.5,76.4,37.9,176724,24.5,13,11.5
ND,47057,All,All,All,27321,58.1,83.1,25,10371,22,11.3,10.7
OH,844365,All,All,All,333629,39.5,78.7,39.2,240989,28.5,12,16.5
OK,355773,All,All,All,146090,41.1,76.3,35.2,95550,26.9,14,12.9
OR,337722,All,All,All,143668,42.5,76.6,34.1,90697,26.9,11.9,15
PA,862692,All,All,All,340244,39.4,78,38.6,237259,27.5,11.3,16.2
RI,79542,All,All,All,33737,42.4,78,35.6,18802,23.6,13.1,10.5
SC,371131,All,All,All,132959,35.8,75.3,39.5,96339,26,14.4,11.6
SD,54749,All,All,All,28037,51.2,83.6,32.4,16383,29.9,12.6,17.3
TN,536506,All,All,All,191440,35.7,77,41.3,151658,28.3,12.4,15.9
TX,1812286,All,All,All,832902,46,75.4,29.4,403925,22.3,12.5,9.8
UT,194928,All,All,All,105165,54,80.2,26.2,38294,19.6,8.5,11.1
VT,44065,All,All,All,16705,37.9,79.3,41.4,15631,35.5,13,22.5
VA,525816,All,All,All,233508,44.4,78.8,34.4,118857,22.6,10.3,12.3
WA,515893,All,All,All,216240,41.9,77.1,35.2,121811,23.6,9.3,14.3
WV,171095,All,All,All,50814,29.7,71.3,41.6,53491,31.3,16.6,14.7
WI,361742,All,All,All,167399,46.3,82,35.7,97088,26.8,10.4,16.4
WY,37772,All,All,All,19703,52.2,80.5,28.3,8367,22.2,12.1,10.1
AL,77652,Hearing,All,All,40599,52.2,,,33689,16.3,,
AK,16161,Hearing,All,All,8489,52.5,,,5835,17.5,,
AZ,92617,Hearing,All,All,50667,54.7,,,43594,14.6,,
AR,47909,Hearing,All,All,25269,52.7,,,25442,17.9,,
CA,365481,Hearing,All,All,190961,52.2,,,171323,15,,
CO,77248,Hearing,All,All,47477,61.4,,,24796,11.6,,
CT,38726,Hearing,All,All,22650,58.4,,,16300,14.5,,
DE,11573,Hearing,All,All,6524,56.3,,,5359,14.2,,
DC,6590,Hearing,All,All,3116,47.2,,,4477,32,,
FL,229910,Hearing,All,All,123990,53.9,,,112235,13.8,,
GA,122542,Hearing,All,All,65074,53.1,,,48488,14,,
HI,14285,Hearing,All,All,8127,56.8,,,6509,12.8,,
ID,30151,Hearing,All,All,19328,64.1,,,9563,10.6,,
IL,130549,Hearing,All,All,74605,57.1,,,61508,16,,
IN,94795,Hearing,All,All,52903,55.8,,,35222,13.7,,
IA,42307,Hearing,All,All,24611,58.1,,,17730,14.3,,
KS,45597,Hearing,All,All,27547,60.4,,,16216,13.7,,
KY,85492,Hearing,All,All,39949,46.7,,,43830,20.4,,
LA,73199,Hearing,All,All,28165,38.4,,,38360,19.9,,
ME,18610,Hearing,All,All,8710,46.8,,,9946,15.7,,
MD,58476,Hearing,All,All,36976,63.2,,,19061,11.4,,
MA,62778,Hearing,All,All,35503,56.5,,,30033,14.2,,
MI,129355,Hearing,All,All,68819,53.2,,,49893,13.6,,
MN,67374,Hearing,All,All,44220,65.6,,,21147,10.9,,
MS,50519,Hearing,All,All,25044,49.5,,,22222,17.8,,
MO,83902,Hearing,All,All,46457,55.3,,,35409,14.4,,
MT,17665,Hearing,All,All,9887,55.9,,,5906,10.4,,
NE,30618,Hearing,All,All,21815,71.2,,,11285,14.8,,
NV,39244,Hearing,All,All,22507,57.3,,,18172,15.7,,
NH,17348,Hearing,All,All,11082,63.8,,,5320,10.6,,
NJ,69444,Hearing,All,All,40683,58.5,,,30133,12.7,,
NM,35694,Hearing,All,All,16234,45.4,,,21326,20.3,,
NY,180387,Hearing,All,All,94758,52.5,,,92492,16.8,,
NC,135362,Hearing,All,All,72110,53.2,,,59907,15.4,,
ND,13864,Hearing,All,All,10710,77.2,,,3248,9.9,,
OH,150061,Hearing,All,All,78985,52.6,,,63856,14.5,,
OK,75961,Hearing,All,All,42724,56.2,,,29977,14.8,,
OR,65423,Hearing,All,All,38946,59.5,,,28119,15.1,,
PA,147567,Hearing,All,All,79274,53.7,,,69053,14.9,,
